SeriesID,Industry,Metric,Source,Unit,Year,Period,PeriodName,Value,Footnotes
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M01,January,5991.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M02,February,5997.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M03,March,6004.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M04,April,6008.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M05,May,6019.5,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M06,June,6031.5,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M07,July,6042.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M08,August,6049.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M09,September,6053.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M10,October,6065.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M11,November,6077.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2015,M12,December,6080.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M01,January,6091.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M02,February,6094.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M03,March,6109.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M04,April,6124.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M05,May,6133.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M06,June,6141.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M07,July,6153.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M08,August,6169.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M09,September,6174.5,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M10,October,6183.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M11,November,6189.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2016,M12,December,6210.4,
