Rank,Probability,Label,SOC_Code,Occupation
1,0.0028,,29-1125,RecreationalTherapists
2,0.003,,49-1011,"First-LineSupervisorsofMechanics,Installers,andRepairers"
3,0.003,,11-9161,EmergencyManagementDirectors
4,0.0031,,21-1023,MentalHealthandSubstanceAbuseSocialWorkers
5,0.0033,,29-1181,Audiologists
6,0.0035,,29-1122,OccupationalTherapists
7,0.0035,,29-2091,OrthotistsandProsthetists
8,0.0035,,21-1022,HealthcareSocialWorkers
9,0.0036,,29-1022,OralandMaxillofacialSurgeons
10,0.0036,,33-1021,First-LineSupervisorsofFireFightingandPreventionWorkers
11,0.0039,,29-1031,DietitiansandNutritionists
12,0.0039,,11-9081,LodgingManagers
13,0.004,,27-2032,Choreographers
14,0.0041,,41-9031,SalesEngineers
15,0.0042,0,29-1060,PhysiciansandSurgeons
16,0.0042,,25-9031,InstructionalCoordinators
17,0.0043,,19-3039,"Psychologists,AllOther"
18,0.0044,,33-1012,First-LineSupervisorsofPoliceandDetectives
19,0.0044,0,29-1021,"Dentists,General"
20,0.0044,,25-2021,"ElementarySchoolTeachers,ExceptSpecialEducation"
21,0.0045,,19-1042,"MedicalScientists,ExceptEpidemiologists"
22,0.0046,,11-9032,"EducationAdministrators,ElementaryandSecondarySchool"
23,0.0046,,29-1081,Podiatrists
24,0.0047,,19-3031,"Clinical,Counseling,andSchoolPsychologists"
25,0.0048,,21-1014,MentalHealthCounselors
26,0.0049,,51-6092,FabricandApparelPatternmakers
27,0.0055,,27-1027,SetandExhibitDesigners
28,0.0055,,11-3121,HumanResourcesManagers
29,0.0061,,39-9032,RecreationWorkers
30,0.0063,,11-3131,TrainingandDevelopmentManagers
31,0.0064,,29-1127,Speech-LanguagePathologists
32,0.0065,,15-1121,ComputerSystemsAnalysts
33,0.0067,0,11-9151,SocialandCommunityServiceManagers
34,0.0068,,25-4012,Curators
35,0.0071,,29-9091,AthleticTrainers
36,0.0073,,11-9111,MedicalandHealthServicesManagers
37,0.0074,0,25-2011,"PreschoolTeachers,ExceptSpecialEducation"
38,0.0075,,25-9021,FarmandHomeManagementAdvisors
39,0.0077,,19-3091,AnthropologistsandArcheologists
40,0.0077,,25-2054,"SpecialEducationTeachers,SecondarySchool"
41,0.0078,,25-2031,"SecondarySchoolTeachers,ExceptSpecialandCareer/TechnicalEdu-"
42,0.0081,0,21-2011,Clergy
43,0.0081,,19-1032,Foresters
44,0.0085,,21-1012,"Educational,Guidance,School,andVocationalCounselors"
45,0.0088,,25-2032,"Career/TechnicalEducationTeachers,SecondarySchool"
