Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-01-01,2015,1,Alabama,6.2,2166864.0,2033561.0
2015-01-01,2015,1,Alaska,6.3,362704.0,339969.0
2015-01-01,2015,1,Arizona,6.4,3090768.0,2893441.0
2015-01-01,2015,1,Arkansas,5.5,1331412.0,1258688.0
2015-01-01,2015,1,California,6.8,18818212.0,17534241.0
2015-01-01,2015,1,Colorado,4.1,2807587.0,2692237.0
2015-01-01,2015,1,Connecticut,6.0,1912878.0,1798490.0
2015-01-01,2015,1,Delaware,5.0,458015.0,435087.0
2015-01-01,2015,1,District of Columbia,7.3,379620.0,351723.0
2015-01-01,2015,1,Florida,5.9,9547419.0,8985862.0
2015-01-01,2015,1,Georgia,6.5,4739013.0,4433176.0
2015-01-01,2015,1,Hawaii,3.8,680210.0,654379.0
2015-01-01,2015,1,Idaho,3.9,789286.0,758658.0
2015-01-01,2015,1,Illinois,6.1,6530801.0,6132193.0
2015-01-01,2015,1,Indiana,5.4,3246591.0,3071983.0
2015-01-01,2015,1,Iowa,3.9,1708406.0,1641989.0
2015-01-01,2015,1,Kansas,4.3,1497763.0,1433010.0
2015-01-01,2015,1,Kentucky,5.4,1987156.0,1880712.0
2015-01-01,2015,1,Louisiana,6.7,2169690.0,2023380.0
2015-01-01,2015,1,Maine,4.9,695333.0,661015.0
2015-01-01,2015,1,Maryland,5.4,3157724.0,2988575.0
2015-01-01,2015,1,Massachusetts,5.2,3632559.0,3445330.0
2015-01-01,2015,1,Michigan,6.0,4764774.0,4478524.0
2015-01-01,2015,1,Minnesota,3.8,3002256.0,2886685.0
2015-01-01,2015,1,Mississippi,6.8,1249462.0,1164541.0
2015-01-01,2015,1,Missouri,5.6,3046324.0,2874992.0
2015-01-01,2015,1,Montana,4.3,517396.0,495156.0
2015-01-01,2015,1,Nebraska,2.9,1013018.0,983736.0
2015-01-01,2015,1,Nevada,7.4,1389305.0,1286014.0
2015-01-01,2015,1,New Hampshire,3.8,750638.0,721759.0
